Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp0592PWQ","DFN1006-3","1.0 x 0.6 x 0.5","Unidirectional","Automotive","2","5.00","1.00","10.00","6.00","6.50","30","30","4V - 5.5V",""
"RClamp0594P","DFN2510-10","2.5 x 1.0 x 0.55","Array","Low capacitance","4","5.00","0.30","6.00","11.80","6.00","12","17","4V - 5.5V","HDMI"
"RClamp0594PWQ","DFN2510-10","2.5 x 1.0 x 0.55","Array","Automotive","4","5.00","0.60","5.00","11.40","6.00","17","20","4V - 5.5V","Automotive Ethernet"
"RCLAMP0801H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","8.00","3.30","30.00","17.50","9.50","30","30","6V - 12V","VBUS"
"RClamp0821H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","8.00","1.90","30.00","23.50","10.50","30","30","6V - 12V","Ethernet, USB"
"RClamp0821P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","8.00","0.30","4.00","25.00","10.00","17","25","6V - 12V","Antenna"
"RClamp0821ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","8.00","0.40","4.00","25.00","10.00","17","25","6V - 12V","Antenna"
"RClamp0822B","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Unidirectional","Low capacitance","2","8.00","0.70","7.00","18.00","9.60","30","30","6V - 12V","USB, VBUS"
"RClamp0854P","DFN1616-6","1.6 x 1.6 x 0.6","Array","Low capacitance","3","5.50","0.80","3.00","30.00","6.50","8","15","4V - 5.5V","USB"
"RClamp10012PQ","DFN2010-5","2.0 x 1.0 x 0.6","Bidirectional","Automotive","2","30.00","1.20","3.00","25.00","105.00","12","17","13V - 33V","Automotive Ethernet"
"RClamp10022PWQ","DFN2010-5","2.0 x 1.0 x 0.5","Bidirectional","Automotive","2","30.00","0.44","6.00","38.00","130.00","15","25","13V - 33V","Automotive Ethernet"
"RClamp1011ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","1.00","0.17","2.50","4.00","1.30","10","15","1V - 3.6V","USB"
"RCLAMP1201H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","12.00","3.30","35.00","25.70","14.50","30","30","6V - 12V","VBUS"
"RCLAMP1221H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","12.00","1.70","35.00","34.00","14.50","30","30","6V - 12V","USB"
"RClamp1221PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","12.00","0.32","4.00","19.70","13.50","10","12","6V - 12V","Antenna"
"RClamp1221ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","12.00","0.35","4.00","24.00","13.50","17","25","6V - 12V","Antenna, HDMI, USB"
"RClamp1222B","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Unidirectional","Low capacitance","2","12.00","0.63","10.00","19.50","14.00","30","30","6V - 12V","RS-485, USB, VBUS"
"RClamp1251ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","12.00","0.42","20.00","5.40","13.00","20","25","6V - 12V","Antenna, USB"
"RClamp1255P","DFN2018-6","2.0 x 1.8 x 0.57","Array","Low capacitance","4","4.00","0.35","3.00","12.50","4.50","10","15","4V - 5.5V","USB"
"RClamp1265P","DFN2018-6","2.0 x 1.8 x 0.57","Array","Low capacitance","4","6.50","0.85","8.00","20.00","7.50","25","30","6V - 12V",""
"RClamp1501H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","15.00","3.10","34.00","28.00","17.50","30","30","13V - 33V","VBUS"
"RClamp1502B","SC-75 (SOT-523)","1.75 x 1.7 x 0.8","Array","Low capacitance","2","15.00","0.60","5.00","40.00","16.70","8","15","13V - 33V",""
"Rclamp1521H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","15.00","1.80","34.00","35.00","17.00","30","30","13V - 33V",""
"RClamp1521P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","15.00","0.30","4.00","30.00","16.70","8","15","13V - 33V","Antenna, USB"
