Part,Manufacturer,Package,Vrwm,Vclamp,Capacitance,Channels,Direction,Grade,Type,Ipp,IEC42_kV,IEC45_A
MMBZ16VTAL,Nexperia,SOT23,13.0,,76.0,2.0,Unidirectional,Commercial,TVS/ESD,11.0,30.0,
MMBZ16VTAL-Q,Nexperia,SOT23,13.0,,76.0,2.0,Unidirectional,Automotive,TVS/ESD,11.0,30.0,
MMBZ16VZ-LS,Nexperia,DFN1006BD-2,13.0,,15.0,1.0,Bidirectional,Commercial,TVS/ESD,7.0,23.0,
MMBZ16VZLS-Q,Nexperia,DFN1006BD-2,13.0,,15.0,1.0,Bidirectional,Automotive,TVS/ESD,7.0,23.0,
MMBZ18VA-T,Nexperia,SOT23,14.5,,30.0,2.0,Unidirectional,Commercial,TVS/ESD,4.8,30.0,
MMBZ18VAL,Nexperia,SOT23,14.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ18VAL-Q,Nexperia,SOT23,14.5,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ18VAT-Q,Nexperia,SOT23,14.5,,30.0,2.0,Unidirectional,Automotive,TVS/ESD,4.8,30.0,
MMBZ18VCL,Nexperia,SOT23,14.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ18VCL-Q,Nexperia,SOT23,14.5,,70.0,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ20VA-T,Nexperia,SOT23,17.0,,26.0,2.0,Unidirectional,Commercial,TVS/ESD,3.8,30.0,
MMBZ20VAL,Nexperia,SOT23,17.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ20VAL-Q,Nexperia,SOT23,17.0,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ20VAT-Q,Nexperia,SOT23,17.0,,26.0,2.0,Unidirectional,Automotive,TVS/ESD,3.8,30.0,
MMBZ20VCL,Nexperia,SOT23,17.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ20VCL-Q,Nexperia,SOT23,17.0,,65.0,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ27VA-T,Nexperia,SOT23,22.0,,22.0,2.0,Unidirectional,Commercial,TVS/ESD,4.2,30.0,
MMBZ27VAL,Nexperia,SOT23,22.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ27VAL-Q,Nexperia,SOT23,22.0,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ27VAT-Q,Nexperia,SOT23,22.0,,22.0,2.0,Unidirectional,Automotive,TVS/ESD,4.2,30.0,
MMBZ27VB-QC,Nexperia,DFN1412D-3,24.0,,6.0,2.0,Bidirectional,Commercial,TVS/ESD,2.6,23.0,
MMBZ27VBQB-Q,Nexperia,DFN1110D-3,24.0,,6.0,2.0,Bidirectional,Automotive,TVS/ESD,2.6,23.0,
MMBZ27VBQC-Q,Nexperia,DFN1412D-3,24.0,,6.0,2.0,Bidirectional,Automotive,TVS/ESD,2.6,23.0,
MMBZ27VBU-Q,Nexperia,SC-70,24.0,,9.0,2.0,Bidirectional,Automotive,TVS/ESD,4.0,30.0,
MMBZ27VCL,Nexperia,SOT23,22.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ27VCL-Q,Nexperia,SOT23,22.0,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ27VCT-Q,Nexperia,SOT23,22.0,,22.0,2.0,Unidirectional,Automotive,TVS/ESD,3.2,30.0,
MMBZ27VST-Q,Nexperia,SOT23,24.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
MMBZ27VU-A,Nexperia,SOD323,24.0,,23.0,1.0,Unidirectional,Commercial,TVS/ESD,4.5,30.0,
MMBZ27VUA-Q,Nexperia,SOD323,24.0,,23.0,1.0,Unidirectional,Automotive,TVS/ESD,4.5,30.0,
MMBZ27VZLS-Q,Nexperia,DFN1006BD-2,24.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
MMBZ33VA-T,Nexperia,SOT23,26.0,,20.0,2.0,Unidirectional,Commercial,TVS/ESD,2.8,20.0,
MMBZ33VAL,Nexperia,SOT23,26.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ33VAL-Q,Nexperia,SOT23,26.0,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ33VAT-Q,Nexperia,SOT23,26.0,,20.0,2.0,Unidirectional,Automotive,TVS/ESD,2.8,20.0,
MMBZ33VB-QB,Nexperia,DFN1110D-3,27.0,,6.0,2.0,Bidirectional,Commercial,TVS/ESD,2.5,20.0,
MMBZ33VB-QC,Nexperia,DFN1412D-3,27.0,,6.0,2.0,Bidirectional,Commercial,TVS/ESD,2.5,20.0,
MMBZ33VB-U,Nexperia,SC-70,27.0,,9.0,2.0,Bidirectional,Commercial,TVS/ESD,3.9,30.0,
MMBZ33VBQB-Q,Nexperia,DFN1110D-3,27.0,,6.0,2.0,Bidirectional,Automotive,TVS/ESD,2.5,20.0,
MMBZ33VBQC-Q,Nexperia,DFN1412D-3,27.0,,6.0,2.0,Bidirectional,Automotive,TVS/ESD,2.5,20.0,
